seed,split,rmse,mae,r2,smape_percent,best_epoch,training_time_sec
11,test,0.022864,0.017430,0.967548,0.134843,1,49.205438
23,test,0.022715,0.017316,0.967686,0.134251,2,55.375332
42,test,0.022796,0.017353,0.967755,0.134120,3,61.983393
71,test,0.022882,0.017436,0.967214,0.135299,3,61.985341
101,test,0.022808,0.017385,0.967191,0.134927,2,55.455965
131,test,0.022960,0.017507,0.967171,0.135519,2,55.490639
173,test,0.022823,0.017342,0.967076,0.134746,3,62.587602
211,test,0.022552,0.017212,0.968186,0.133722,2,56.095861
257,test,0.022920,0.017432,0.967440,0.135128,2,55.659435
307,test,0.022770,0.017362,0.967648,0.134596,2,55.410277
11,validation,0.020682,0.016213,0.985025,0.133633,1,49.205438
23,validation,0.020561,0.016097,0.985143,0.132732,2,55.375332
42,validation,0.020643,0.016203,0.985064,0.133459,3,61.983393
71,validation,0.020559,0.016116,0.985081,0.133032,3,61.985341
101,validation,0.020498,0.016061,0.985302,0.132448,2,55.455965
131,validation,0.020545,0.016121,0.985093,0.133129,2,55.490639
173,validation,0.020531,0.016083,0.985086,0.132813,3,62.587602
211,validation,0.020622,0.016161,0.985028,0.133182,2,56.095861
257,validation,0.020659,0.016174,0.985036,0.133488,2,55.659435
307,validation,0.020604,0.016170,0.985092,0.133306,2,55.410277
