origin_id,scenario_id,development_rows,train_rows,validation_rows,assessment_rows,train_last_time_min,validation_first_time_min,validation_last_time_min,assessment_first_time_min,assessment_last_time_min
1,cab_valve_leak,1224,489,183,183,489,490,672,673,855
1,condenser_efficiency_decrease,1224,489,183,183,489,490,672,673,855
1,fhn_sensor_drift,1224,489,183,183,489,490,672,673,855
1,heat_exchanger_fouling,1224,489,183,183,489,490,672,673,855
1,noc_stable_feed_flow,2448,979,367,367,979,980,1346,1347,1713
1,noc_varying_feed_flow,8568,3427,1285,1285,3427,3428,4712,4713,5997
1,reactor_fractionator_pressure_drop_increase,1224,489,183,183,489,490,672,673,855
2,cab_valve_leak,1224,673,183,183,673,674,856,857,1039
2,condenser_efficiency_decrease,1224,673,183,183,673,674,856,857,1039
2,fhn_sensor_drift,1224,673,183,183,673,674,856,857,1039
2,heat_exchanger_fouling,1224,673,183,183,673,674,856,857,1039
2,noc_stable_feed_flow,2448,1346,367,367,1346,1347,1713,1714,2080
2,noc_varying_feed_flow,8568,4712,1285,1285,4712,4713,5997,5998,7282
2,reactor_fractionator_pressure_drop_increase,1224,673,183,183,673,674,856,857,1039
3,cab_valve_leak,1224,856,183,183,856,857,1039,1040,1222
3,condenser_efficiency_decrease,1224,856,183,183,856,857,1039,1040,1222
3,fhn_sensor_drift,1224,856,183,183,856,857,1039,1040,1222
3,heat_exchanger_fouling,1224,856,183,183,856,857,1039,1040,1222
3,noc_stable_feed_flow,2448,1713,367,367,1713,1714,2080,2081,2447
3,noc_varying_feed_flow,8568,5997,1285,1285,5997,5998,7282,7283,8567
3,reactor_fractionator_pressure_drop_increase,1224,856,183,183,856,857,1039,1040,1222
